metric,zone,value
shadow_carbon_price_gbp_per_t,GB,52.4787
demand_weighted_price_gbp_per_mwh,Z10,63.8663
demand_weighted_price_gbp_per_mwh,Z11,63.8663
demand_weighted_price_gbp_per_mwh,Z12,63.8663
demand_weighted_price_gbp_per_mwh,Z13,63.8663
demand_weighted_price_gbp_per_mwh,Z14,63.8663
demand_weighted_price_gbp_per_mwh,Z15,63.8663
demand_weighted_price_gbp_per_mwh,Z16,63.8663
demand_weighted_price_gbp_per_mwh,Z17,63.3123
demand_weighted_price_gbp_per_mwh,Z1_1,63.8046
demand_weighted_price_gbp_per_mwh,Z1_2,63.8046
demand_weighted_price_gbp_per_mwh,Z1_3,63.8046
demand_weighted_price_gbp_per_mwh,Z1_4,63.8046
demand_weighted_price_gbp_per_mwh,Z2,63.8046
demand_weighted_price_gbp_per_mwh,Z3,63.8063
demand_weighted_price_gbp_per_mwh,Z4,63.8063
demand_weighted_price_gbp_per_mwh,Z5,63.8063
demand_weighted_price_gbp_per_mwh,Z6,63.8063
demand_weighted_price_gbp_per_mwh,Z7,63.8063
demand_weighted_price_gbp_per_mwh,Z8,63.8063
demand_weighted_price_gbp_per_mwh,Z9,63.8063
demand_weighted_price_gbp_per_mwh,Teesside H2,71.0496
